dataset,seed,method,method_key,ACC_old,ACC_new,ACC_overall,Balanced_ACC
math1,1,CLEAN-Full,CLEAN-Full,0.7289239519310156,0.754675652906487,0.7380019006889997,0.7366494622236569
math1,1,CLEAN-LoRA,CLEAN-LoRA,0.7289239519310156,0.680033698399326,0.7116892373485388,0.7142568758715087
math1,7,G-NCDM,G-NCDM(Anchor),0.722502522704339,,0.722502522704339,
math1,7,EWC,EWC,0.6818640491698009,0.7295703454085931,0.6986813970064149,0.6961759380414385
math1,7,DER++,DER++,0.7056233373085038,0.7556866048862679,0.7232715609408411,0.720642317581833
math1,7,C-LoRA,C-LoRA,0.6790202733694156,0.720977253580455,0.6938108814445236,0.6916073674327273
math1,7,X-DER,X-DER,0.7241537473626273,0.7506318449873631,0.7334877643145641,0.732097176650048
math1,7,Full Replay Oracle,Full-Replay,0.724428951472342,0.7538331929233362,0.7347944880019007,0.7332502239076403
math1,7,C-LoRA-GNCDM,C-LoRA-GNCDM,0.6101275112375012,0.7132266217354676,0.6464718460441911,0.641057244386891
math1,7,ICD,ICD,0.686175580221998,0.7110362257792755,0.6949394155381325,0.6936337738891812
math1,7,CLEAN-Full,CLEAN-Full,0.722502522704339,0.7054759898904802,0.7165003563791874,0.7173945628601813
math1,7,CLEAN-LoRA,CLEAN-LoRA,0.722502522704339,0.6834035383319292,0.7087194107864101,0.710772827392616
math1,21,G-NCDM,G-NCDM(Anchor),0.7174571140262361,,0.7174571140262361,
math1,21,EWC,EWC,0.6921383359324833,0.7327716933445662,0.7064623425991922,0.7043283431561081
math1,21,DER++,DER++,0.7201174204201449,0.75787700084246,0.7334283677833214,0.7314452945468394
math1,21,C-LoRA,C-LoRA,0.6911292541968627,0.7219882055602359,0.702007602755999,0.7003869396058746
math1,21,X-DER,X-DER,0.7253462985047243,0.7529907329401854,0.7350914706581135,0.7336396288353626
math1,21,Full Replay Oracle,Full-Replay,0.7232364003302449,0.7499578770008425,0.732656212877168,0.7312528433314243
math1,21,C-LoRA-GNCDM,C-LoRA-GNCDM,0.6213191450325658,0.7174389216512216,0.6552031361368497,0.6501550780181625
math1,21,ICD,ICD,0.686175580221998,0.7110362257792755,0.6949394155381325,0.6936337738891812
math1,21,CLEAN-Full,CLEAN-Full,0.7174571140262361,0.7529907329401854,0.729983368971252,0.7281171997004209
math1,21,CLEAN-LoRA,CLEAN-LoRA,0.7174571140262361,0.6855939342881213,0.7062247564742219,0.7078981601048017
math1,42,G-NCDM,G-NCDM(Anchor),0.7252545638014861,,0.7252545638014861,
math1,42,EWC,EWC,0.687368131364095,0.7265374894692502,0.7011760513186029,0.6991189387956416
math1,42,DER++,DER++,0.7175488487294743,0.7560235888795283,0.731111903064861,0.7290912707744904
math1,42,C-LoRA,C-LoRA,0.6947986423263921,0.7127211457455771,0.7011166547873604,0.7001753933521475
